Device Info:
Type:,Intel RealSense D415
HW Id:,0AD3
Serial Num:,023322062705
Firmware Ver:,05.12.15.50

Streaming profile:
Stream,Format,Resolution,FPS
Depth,Z16,1280x720,30
Infrared,RGB8,1280x720,30

Environment:
Plane-Fit_distance_mm,241.581833
Ground-Truth_Distance_mm,N/A

Sample Id,Frame #,Timestamp (ms),Fill-Rate %,Z Accuracy %,Plane Fit RMS Error %,Subpixel RMS Error pixel,Plane Fit RMS Error mm ,
0,733,952776.3464,95.7648,,9.9886,10.0682,24.1316,
1,734,952913.0359,95.7776,,9.9869,10.0667,24.1273,
2,735,953055.6303,95.8161,,9.9828,10.0621,24.1173,
3,736,953199.3262,95.7486,,9.9877,10.0672,24.1286,
4,737,953339.3248,95.7783,,9.9866,10.0671,24.1274,
5,738,953515.6582,95.7790,,9.9873,10.0674,24.1292,
6,739,953682.5422,95.7891,,9.9854,10.0670,24.1253,
7,740,953872.9331,95.8053,,9.9855,10.0661,24.1250,
8,741,954015.7918,95.8147,,9.9862,10.0666,24.1268,
9,742,954198.4049,95.8343,,9.9846,10.0646,24.1225,
10,743,954341.1264,95.8471,,9.9864,10.0665,24.1268,
11,744,954558.3567,95.8309,,9.9866,10.0668,24.1268,
12,745,954712.1470,95.7857,,9.9879,10.0690,24.1303,
13,746,954884.5295,95.8120,,9.9869,10.0672,24.1275,
14,747,955023.5936,95.8134,,9.9877,10.0679,24.1298,
15,748,955168.3490,95.7648,,9.9886,10.0702,24.1323,
16,749,955358.6833,95.7425,,9.9905,10.0711,24.1356,
17,750,955518.0481,95.7837,,9.9884,10.0688,24.1302,
18,751,955719.7692,95.7553,,9.9891,10.0707,24.1324,
19,752,955876.2470,95.7034,,9.9918,10.0728,24.1390,
20,753,956018.9578,95.7769,,9.9892,10.0701,24.1318,
21,754,956177.1775,95.7054,,9.9945,10.0774,24.1460,
22,755,956377.3984,95.7560,,9.9889,10.0700,24.1313,
23,756,956522.2786,95.8403,,9.9842,10.0660,24.1206,
24,757,956723.1032,95.8322,,9.9818,10.0630,24.1151,
25,758,956894.5284,95.9152,,9.9809,10.0613,24.1121,
26,759,957059.0004,95.8491,,9.9805,10.0622,24.1120,
27,760,957198.2900,95.8666,,9.9786,10.0586,24.1069,
28,761,957371.9270,95.8329,,9.9825,10.0628,24.1159,
